tweet_id,favorites,retweets,user_followers,user_favourites,date_time
666020888022790149,2544,508,7415093,139459,2015-11-15 22:32:08
666029285002620928,128,47,7415093,139459,2015-11-15 23:05:30
666033412701032449,125,44,7415093,139459,2015-11-15 23:21:54
666044226329800704,295,139,7415093,139459,2015-11-16 00:04:52
666049248165822465,107,40,7415093,139459,2015-11-16 00:24:50
666050758794694657,131,59,7415093,139459,2015-11-16 00:30:50
666051853826850816,1206,841,7415093,139459,2015-11-16 00:35:11
666055525042405380,431,245,7415093,139459,2015-11-16 00:49:46
666057090499244032,294,141,7415093,139459,2015-11-16 00:55:59
666058600524156928,111,57,7415093,139459,2015-11-16 01:01:59
666063827256086533,471,215,7415093,139459,2015-11-16 01:22:45
666071193221509120,144,59,7415093,139459,2015-11-16 01:52:02
666073100786774016,319,162,7415093,139459,2015-11-16 01:59:36
666082916733198337,116,44,7415093,139459,2015-11-16 02:38:37
666094000022159362,163,72,7415093,139459,2015-11-16 03:22:39
666099513787052032,153,67,7415093,139459,2015-11-16 03:44:34
666102155909144576,80,12,7415093,139459,2015-11-16 03:55:04
666104133288665088,14169,6489,7415093,139459,2015-11-16 04:02:55
666268910803644416,102,35,7415093,139459,2015-11-16 14:57:41
666273097616637952,174,76,7415093,139459,2015-11-16 15:14:19
666287406224695296,146,64,7415702,139461,2015-11-16 16:11:11
666293911632134144,494,352,7415093,139459,2015-11-16 16:37:02
666337882303524864,197,90,7415093,139459,2015-11-16 19:31:45
666345417576210432,291,133,7415093,139459,2015-11-16 20:01:42
666353288456101888,218,71,7415093,139459,2015-11-16 20:32:58
666362758909284353,769,564,7415093,139459,2015-11-16 21:10:36
666373753744588802,186,92,7415093,139459,2015-11-16 21:54:18
666396247373291520,167,84,7415093,139459,2015-11-16 23:23:41
666407126856765440,106,40,7415093,139459,2015-11-17 00:06:54
666411507551481857,440,323,7415093,139459,2015-11-17 00:24:19
666418789513326592,123,45,7415093,139459,2015-11-17 00:53:15
666421158376562688,315,111,7415093,139459,2015-11-17 01:02:40
666428276349472768,165,83,7415093,139459,2015-11-17 01:30:57
666430724426358785,316,197,7415093,139459,2015-11-17 01:40:41
666435652385423360,165,53,7415093,139459,2015-11-17 02:00:15
666437273139982337,124,48,7415093,139459,2015-11-17 02:06:42
666447344410484738,104,20,7415093,139459,2015-11-17 02:46:43
666454714377183233,519,208,7415093,139459,2015-11-17 03:16:00
666644823164719104,232,83,7415093,139459,2015-11-17 15:51:26
666649482315059201,1118,628,7415093,139459,2015-11-17 16:09:56
666691418707132416,188,47,7415093,139459,2015-11-17 18:56:35
666701168228331520,433,219,7415093,139459,2015-11-17 19:35:19
666739327293083650,237,66,7415093,139459,2015-11-17 22:06:57
666776908487630848,350,175,7415093,139459,2015-11-18 00:36:17
666781792255496192,388,199,7415093,139459,2015-11-18 00:55:42
666786068205871104,763,488,7415093,139459,2015-11-18 01:12:41
666804364988780544,242,94,7415093,139459,2015-11-18 02:25:23
666817836334096384,521,254,7415093,139459,2015-11-18 03:18:55
666826780179869698,255,97,7415093,139459,2015-11-18 03:54:28
666835007768551424,217,80,7415093,139459,2015-11-18 04:27:09
666837028449972224,826,559,7415093,139459,2015-11-18 04:35:11
666983947667116034,2568,994,7415093,139459,2015-11-18 14:18:59
666996132027977728,247,96,7415093,139459,2015-11-18 15:07:24
667012601033924608,451,226,7415093,139459,2015-11-18 16:12:51
667044094246576128,185,51,7415093,139459,2015-11-18 18:17:59
667062181243039745,219,55,7415093,139459,2015-11-18 19:29:52
667065535570550784,167,48,7415093,139459,2015-11-18 19:43:11
667073648344346624,408,124,7415093,139459,2015-11-18 20:15:26
667090893657276420,337,129,7415093,139459,2015-11-18 21:23:57
667119796878725120,331,128,7415093,139459,2015-11-18 23:18:48
667138269671505920,4653,2250,7415093,139459,2015-11-19 00:32:12
667152164079423490,48244,17401,7415093,139459,2015-11-19 01:27:25
667160273090932737,260,62,7415093,139459,2015-11-19 01:59:39
667165590075940865,2716,1161,7415093,139459,2015-11-19 02:20:46
667171260800061440,223,91,7415093,139459,2015-11-19 02:43:18
667174963120574464,247,84,7415093,139459,2015-11-19 02:58:01
667176164155375616,613,468,7415093,139459,2015-11-19 03:02:47
667177989038297088,192,55,7415093,139459,2015-11-19 03:10:02
667182792070062081,14463,6309,7415093,139459,2015-11-19 03:29:07
667188689915760640,752,423,7415093,139459,2015-11-19 03:52:34
667192066997374976,388,109,7415093,139459,2015-11-19 04:05:59
667200525029539841,621,265,7415093,139459,2015-11-19 04:39:35
667211855547486208,498,245,7415093,139459,2015-11-19 05:24:37
667369227918143488,370,167,7415093,139459,2015-11-19 15:49:57
667393430834667520,197,58,7415093,139459,2015-11-19 17:26:08
667405339315146752,473,221,7415093,139459,2015-11-19 18:13:27
